     "AFD;AFD;Порт Альфред;Порт Альфред;Port Alfred;Port Alfred;Порт Альфред;Порт Альфред;Port Alfred;Port Alfred;ЮАР;ЮАР;South Africa;South Africa;-33.554167;-33.554167;26.879722;26.879722";;;;
     "AFF;AFF;;;USAF Academy Airstrip;USAF Academy Airstrip;Колорадо Спрингз;Колорадо Спрингз;Colorado Springs;Colorado Springs;США;США;United States;United States;38.969715;38.969715;-104.812831;-104.812831";;;;
     "AFI;AFI;Амалфи;Амалфи;Amalfi;Amalfi;Амалфи;Амалфи;Amalfi;Amalfi;Колумбия;Колумбия;Colombia;Colombia;6.916667;6.916667;-75.066667;-75.066667";;;;
     "AFK;AFK;;;Kondavattavan Tank;Kondavattavan Tank;;;Ampara;Ampara;Шри-Ланка;Шри-Ланка;Sri Lanka;Sri Lanka;40.605444;40.605444;-95.867750;-95.867750";;;;
     "AFL;AFL;Алта-Флореста;Алта-Флореста;Alta Floresta;Alta Floresta;Алта-Флореста;Алта-Флореста;Alta Floresta;Alta Floresta;Бразилия;Бразилия;Brazil;Brazil;-9.866092;-9.866092;-56.106206;-56.106206";;;;
     "AFN;AFN;;;Municipal;Municipal;;;Jaffrey;Jaffrey;США;США;United States;United States;42.805134;42.805134;-72.003022;-72.003022";;;;
     "AFO;AFO;;;Municipal;Municipal;Афтон;Афтон;Afton;Afton;США;США;United States;United States;42.708778;42.708778;-110.942167;-110.942167";;;;
     "AFR;AFR;Афоре;Афоре;Afore;Afore;Афоре;Афоре;Afore;Afore;Папуа - Новая Гвинея;Папуа - Новая Гвинея;Papua New Guinea;Papua New Guinea;-9.133;-9.133;148.383;148.383";;;;
     "AFS;AFS;Зарафшан;Зарафшан;Zarafshan;Zarafshan;Зарафшан;Зарафшан;Zarafshan;Zarafshan;Узбекистан;Узбекистан;Uzbekistan;Uzbekistan;41.613611;41.613611;64.232777;64.232777";;;;
     "AFT;AFT;;;Afutara Aerodrome;Afutara Aerodrome;Афутара;Афутара;Afutara;Afutara;Соломоновы острова;Соломоновы острова;Solomon Islands;Solomon Islands;-9.191111;-9.191111;160.949167;160.949167";;;;
     "AFW;AFW;;;Fort Worth Alliance;Fort Worth Alliance;;;Fort Worth, TX;Fort Worth, TX;США;США;United States;United States;32.987639;32.987639;-97.318806;-97.318806";;;;
     "AFY;AFY;Афион;Афион;Afyon;Afyon;Афион;Афион;Afyon;Afyon;Турция;Турция;Turkey;Turkey;38.726425;38.726425;30.601114;30.601114";;;;
     "AFZ;AFZ;;;Sabzevar;Sabzevar;;;Sabzevar;Sabzevar;Иран;Иран;Iran;Iran;36.168083;36.168083;57.595183;57.595183";;;;
     "AGA;AGA;Агадир Альмассира;Агадир Альмассира;Agadir Almassira;Agadir Almassira;Агадир;Агадир;Agadir;Agadir;Марокко;Марокко;Morocco;Morocco;30.324997;30.324997;-9.413067;-9.413067";;;;
     "AGB;AGB;;;Augsburg - Muehlhausen;Augsburg - Muehlhausen;Мюнхен;Мюнхен;Munich;Munich;Германия;Германия;Germany;Germany;48.425158;48.425158;10.931764;10.931764";;;;
     "AGC;AGC;;;Allegheny County;Allegheny County;Питтсборо;Питтсборо;Pittsburgh;Pittsburgh;США;США;United States;United States;40.354401;40.354401;-79.930169;-79.930169";;;;
     "AGD;AGD;Ангги;Ангги;Anggi;Anggi;Ангги;Ангги;Anggi;Anggi;Индонезия;Индонезия;Indonesia;Indonesia;-1.383;-1.383;133.867;133.867";;;;
